op_code(arp),mac_diferente_eth_arp,arp_packets_por_mac,arp_request_count,arp_reply_count,ratio_request_reply,Label
2,0,1686.0,1096.0,590.0,1.8544839255499155,0
1,0,2916.0,1723.0,1193.0,1.4430485762144054,0
1,0,3354.0,1804.0,1550.0,1.1631205673758864,0
1,0,225.0,130.0,95.0,1.3541666666666667,0
1,0,2355.0,1245.0,1110.0,1.1206120612061206,0
2,0,2396.0,1227.0,1168.0,1.0496150556030797,0
2,0,1067.0,567.0,500.0,1.1317365269461077,0
2,0,4235.0,2192.0,2043.0,1.0724070450097847,0
2,0,611.0,220.0,391.0,0.5612244897959183,0
1,0,2750.0,1454.0,1296.0,1.1210485736314573,0
1,0,627.0,383.0,244.0,1.563265306122449,0
2,0,4704.0,2427.0,2277.0,1.0654082528533801,0
1,0,1897.0,1082.0,814.0,1.3276073619631903,0
2,0,2009.0,1329.0,680.0,1.9515418502202644,0
2,0,78.0,38.0,40.0,0.926829268292683,0
1,0,4147.0,2197.0,1950.0,1.1260891850333163,0
1,0,1351.0,761.0,590.0,1.287648054145516,0
1,0,2216.0,1206.0,1010.0,1.1928783382789319,0
1,0,4688.0,2483.0,2205.0,1.1255666364460561,0
1,0,5661.0,2961.0,2700.0,1.0962606442058498,0
2,0,3065.0,1635.0,1430.0,1.1425576519916143,0
1,0,548.0,193.0,355.0,0.5421348314606742,0
1,0,4114.0,2179.0,1935.0,1.12551652892562,0
1,0,1294.0,826.0,468.0,1.7611940298507462,0
1,0,663.0,404.0,259.0,1.5538461538461539,0
1,0,4813.0,2487.0,2326.0,1.0687580575848732,0
1,0,686.0,251.0,435.0,0.5756880733944955,0
2,0,316.0,171.0,145.0,1.1712328767123288,0
2,0,2121.0,1384.0,737.0,1.8753387533875339,0
2,0,1817.0,1009.0,808.0,1.2472187886279358,0
1,0,440.0,245.0,195.0,1.25,0
1,0,1584.0,1046.0,538.0,1.940630797773655,0
2,0,632.0,439.0,193.0,2.2628865979381443,0
1,0,3788.0,2145.0,1643.0,1.3047445255474452,0
2,0,4543.0,2549.0,1994.0,1.2776942355889724,0
1,0,5011.0,2585.0,2426.0,1.065100947672023,0
2,0,4244.0,2250.0,1994.0,1.1278195488721805,0
2,0,2019.0,1294.0,725.0,1.7823691460055096,0
2,0,1813.0,1214.0,599.0,2.0233333333333334,0
2,0,55.0,41.0,14.0,2.7333333333333334,0
1,0,37.0,31.0,6.0,4.428571428571429,0
2,0,2132.0,1184.0,948.0,1.2476290832455217,0
1,0,1494.0,710.0,784.0,0.9044585987261147,0
1,0,3102.0,1657.0,1445.0,1.1459197786998616,0
1,0,5371.0,2831.0,2540.0,1.1141282959464778,0
2,0,1014.0,704.0,310.0,2.2636655948553055,0
2,0,4234.0,2192.0,2042.0,1.0729319627998042,0
1,0,6443.0,3388.0,3055.0,1.1086387434554974,0
2,0,515.0,350.0,165.0,2.108433734939759,0
2,0,2505.0,1344.0,1161.0,1.1566265060240963,0
1,0,268.0,138.0,130.0,1.0534351145038168,0
1,0,4541.0,2548.0,1993.0,1.2778335005015045,0
1,0,2809.0,1671.0,1138.0,1.4670763827919227,0
1,0,1265.0,734.0,531.0,1.3796992481203008,0
1,0,7.0,7.0,0.0,7.0,0
2,0,430.0,182.0,248.0,0.7309236947791165,0
1,0,968.0,363.0,605.0,0.599009900990099,0
2,0,279.0,132.0,147.0,0.8918918918918919,0
2,0,1181.0,783.0,398.0,1.962406015037594,0
2,0,2057.0,1049.0,1008.0,1.039643211100099,0
2,0,2138.0,1126.0,1012.0,1.1115498519249754,0
1,0,1631.0,915.0,716.0,1.2761506276150627,0
1,0,733.0,470.0,263.0,1.7803030303030303,0
1,0,3608.0,1887.0,1721.0,1.0958188153310104,0
1,0,3202.0,1864.0,1338.0,1.3920836445108289,0
1,0,3419.0,1966.0,1453.0,1.3521320495185694,0
1,0,694.0,272.0,422.0,0.6430260047281324,0
2,0,44.0,35.0,9.0,3.5,0
1,0,2012.0,1294.0,718.0,1.799721835883171,0
2,0,3687.0,1975.0,1712.0,1.1529480443666082,0
2,0,4132.0,2132.0,2000.0,1.0654672663668165,0
2,0,1861.0,949.0,912.0,1.0394304490690034,0
2,0,3428.0,1974.0,1454.0,1.3567010309278351,0
2,0,3615.0,1935.0,1680.0,1.1511005353955979,0
1,0,3336.0,1791.0,1545.0,1.1584734799482534,0
